time,MF_LF,T_CORI,MF_CORI,RHO_CORI,P_DP
"12:19:09:46,7",18.540809631347656,22.288755416870117,48.22576141357422,999.9598999023438,16.98451805114746
"12:19:09:46,8",18.81470489501953,22.288755416870117,48.24235534667969,999.8878173828125,16.928760528564453
"12:19:09:46,9",19.10088539123535,22.284250259399414,48.25404357910156,999.5802001953125,16.89591407775879
"12:19:09:46,0",19.51828956604004,22.284250259399414,48.26956558227539,999.73486328125,16.856273651123047
"12:19:09:46,1",19.790952682495117,22.27749252319336,48.27819061279297,999.6505126953125,16.81981086730957
"12:19:09:46,2",20.093658447265625,22.268482208251953,48.28434371948242,999.7717895507812,16.787839889526367
"12:19:09:46,3",20.91148567199707,22.2662296295166,48.28879165649414,999.5203857421875,16.750446319580078
"12:19:09:46,4",21.999494552612305,22.26397705078125,48.29164505004883,999.6170654296875,16.711809158325195
"12:19:09:46,5",22.853153228759766,22.257221221923828,48.29264450073242,999.6505126953125,16.675687789916992
"12:19:09:46,6",22.92291259765625,22.254966735839844,48.29261779785156,999.5819091796875,16.63298225402832
"12:19:09:46,7",22.67378044128418,22.248210906982422,48.29292297363281,999.4553833007812,16.578292846679688
"12:19:09:46,8",22.36087989807129,22.254966735839844,48.29315185546875,999.6663208007812,16.548370361328125
"12:19:09:46,9",22.059362411499023,22.25046157836914,48.29252243041992,999.6311645507812,16.51615333557129
"12:19:09:46,0",21.736133575439453,22.232446670532227,48.2910041809082,999.60302734375,16.495437622070312
"12:19:09:46,1",21.4542293548584,22.23920249938965,48.289363861083984,999.6241455078125,16.473712921142578
"12:19:09:46,2",21.179922103881836,22.234697341918945,48.28694534301758,999.3815307617188,16.481008529663086
"12:19:09:46,3",21.85616111755371,22.23019027709961,48.284217834472656,999.54150390625,16.528697967529297
"12:19:09:46,4",23.099143981933594,22.218935012817383,48.281925201416016,999.5133666992188,16.61336898803711
"12:19:09:46,5",23.610780715942383,22.214427947998047,48.279781341552734,999.5010986328125,16.76397132873535
"12:19:09:46,6",23.88319969177246,22.225688934326172,48.27709197998047,999.6961669921875,16.855390548706055
"12:19:09:46,7",24.16924476623535,22.21668243408203,48.2738151550293,999.4588623046875,16.940637588500977
"12:19:09:46,8",24.508708953857422,22.212177276611328,48.272335052490234,999.6012573242188,17.034799575805664
"12:19:09:46,9",24.790225982666016,22.21668243408203,48.27119064331055,999.6364135742188,17.161376953125
"12:19:09:46,0",25.05548858642578,22.22118377685547,48.27057647705078,999.6803588867188,17.288742065429688
"12:19:09:46,1",25.32260513305664,22.21668243408203,48.269989013671875,999.6539916992188,17.42214584350586
"12:19:09:46,3",25.5582332611084,22.200916290283203,48.2696418762207,999.55908203125,17.553932189941406
"12:19:09:46,4",25.834020614624023,22.191909790039062,48.269649505615234,999.63818359375,17.706348419189453
"12:19:09:46,5",26.36772346496582,22.20992660522461,48.26852035522461,999.6593017578125,17.81414794921875
"12:19:09:46,6",27.141571044921875,22.185155868530273,48.263580322265625,999.7049560546875,17.878679275512695
"12:19:09:46,7",27.95291519165039,22.1964168548584,48.255828857421875,999.5994873046875,17.86739158630371
"12:19:09:46,8",28.33756446838379,22.1964168548584,48.23550033569336,999.7454223632812,17.86945343017578
"12:19:09:46,9",28.178539276123047,22.191909790039062,48.21276092529297,999.58544921875,17.981781005859375
"12:19:09:46,0",27.829002380371094,22.189659118652344,48.21551513671875,999.73486328125,18.09639549255371
"12:19:09:46,1",27.48211669921875,22.180654525756836,48.23005294799805,999.6452026367188,18.178611755371094
"12:19:09:46,2",27.095239639282227,22.180654525756836,48.24058151245117,999.6663208007812,18.31407356262207
"12:19:09:46,3",26.755582809448242,22.17840003967285,48.24786376953125,999.7489013671875,18.407609939575195
"12:19:09:46,4",26.38542366027832,22.169395446777344,48.25503158569336,999.74365234375,18.452594757080078
"12:19:09:46,5",26.06000328063965,22.182905197143555,48.261837005615234,999.7489013671875,18.480302810668945
"12:19:09:46,6",25.742794036865234,22.182905197143555,48.27109146118164,999.7664794921875,18.496700286865234
"12:19:09:46,7",25.39912223815918,22.164894104003906,48.285804748535156,999.7137451171875,18.523405075073242
"12:19:09:46,8",25.097074508666992,22.167144775390625,48.30363464355469,999.6944580078125,18.548988342285156
"12:19:09:46,9",25.435182571411133,22.160390853881836,48.327396392822266,999.5836791992188,18.5806941986084
"12:19:09:46,0",27.022584915161133,22.162643432617188,48.35272979736328,999.76123046875,18.6118221282959
"12:19:09:46,1",28.729230880737305,22.162643432617188,48.37794876098633,999.7576904296875,18.640331268310547
"12:19:09:46,2",30.250194549560547,22.155885696411133,48.40473937988281,999.6610107421875,18.680397033691406
"12:19:09:46,3",30.429019927978516,22.153636932373047,48.434226989746094,999.6838989257812,18.652076721191406
